domain,registration_date,expiry_date,registrar,days_remaining,status
wrongfuldeathattorneyoakland.com,2025-06-20,2026-06-20,Spaceship,-8,ok
chattanoogainjurylawfirm.com,2025-07-16,2026-07-16,Spaceship,18,ok
injurylawyerchattanooga.com,2025-08-12,2026-08-12,Spaceship,45,ok
tampacashforjunkcars.com,2025-09-11,2026-09-11,Spaceship,75,ok
sanantoniocashforjunkcars.com,2025-10-16,2026-10-16,Spaceship,110,ok
financialplannerlondon.com,2025-11-15,2026-11-15,Spaceship,140,ok
contractornh.com,2025-12-15,2026-12-15,Spaceship,170,ok
dentistparadise.com,2026-01-14,2027-01-14,Spaceship,200,ok
anaheimdogtrainer.com,2026-02-13,2027-02-13,Spaceship,230,ok
volvocarsforsale.com,2026-03-15,2027-03-15,Spaceship,260,ok
dynadux.com,2026-04-14,2027-04-14,Spaceship,290,ok
greensboroitsupport.com,2026-05-14,2027-05-14,Spaceship,320,ok
immigrationattorneydetroit.com,2025-07-23,2026-07-23,Spaceship,25,ok
carypersonalinjury.com,2025-08-22,2026-08-22,Spaceship,55,ok
counselingmilwaukee.com,2025-10-01,2026-10-01,Spaceship,95,ok
chiropractormurrieta.com,2025-11-05,2026-11-05,Spaceship,130,ok
payvesto.com,2025-07-10,2026-07-10,Spaceship,12,ok
hackarc.com,2026-01-24,2027-01-24,Spaceship,210,ok
remitarc.com,2026-04-29,2027-04-29,Spaceship,305,ok
tunetotext.com,2025-12-05,2026-12-05,Spaceship,160,ok
